Source	Target	LetterNumber	href	tu	vous	wordcount	commas	meanSentenceLength	medianSentenceLength
PÈRE ANSELME	VICOMTE DE VALMONT	124	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_123	0	16	394	36	32.833333333333336	30.0
MADAME TOURVEL	MADAME DE ROSEMONDE	125	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_124	0	13	1089	85	25.325581395348838	19.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	126	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_125	0	50	3414	291	29.95614035087719	26.0
MADAME DE ROSEMONDE	LA PRÉSIDENTE TOURVEL	127	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_126	0	31	729	67	40.5	35.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	128	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_127	0	31	605	65	30.25	25.0
MADAME TOURVEL	MADAME DE ROSEMONDE	129	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_128	0	6	449	35	17.96	16.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	130	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_129	0	26	865	70	41.19047619047619	33.0
MADAME DE ROSEMONDE	LA PRÉSIDENTE TOURVEL	131	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_130	0	10	741	73	41.166666666666664	34.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	132	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_131	0	22	771	69	42.833333333333336	43.5
MADAME TOURVEL	MADAME DE ROSEMONDE	133	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_132	0	9	558	50	37.2	29.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	134	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_133	0	17	1153	105	31.16216216216216	28.0
